MEAS_APLL_AMT_ENTRY_BALANCE,MEAS_APLL_AMT_ENTRY_PRINCIPAL,MEAS_APPL_AMT_WRITEOFF
DCA 1,,
70%-30% with Counter Offer,,
70%-30% without Counter Offer,,
EARTH_Settlement_65+,,
EARTH_Settlement_Small Tickets,,
Had settlement,,
O_70%-30% with Counter Offer,,
O_70%-30% without Counter Offer,,
O_Out of Mandate,,
O_Preapproved,,
O_Settlement,,
O_Απαλλαγή ενεχόμενου,,
O_Διακανονισμός με Επαναδιαπραγμάτευση,,
O_Λογ εξόδων,,
O_N.3869_Προσωρινή Διαταγή,,
Ο_Ν.3869_Συζήτηση,,
Out of Mandate,,
Preapproved,,
Resch to Sett,,
Settlement,,
Διακανονισμός Αποπληρωμής Συνολικής Οφειλής,,
Διακανονισμός με Επαναδιαπραγμάτευση,,
Εφάπαξ Συμβιβαστικές Ρυθμίσεις,,
Λογαριασμός εξόδων,,
Ν.3869_Προστασία Α Κατοικίας,,
Ν.3869_Προσωρινή Διαταγή,,
Ν.3869_Συζήτηση,,
Χρονικές Συμβιβαστικές Ρυθμίσεις,,
*No value,,
DCA 2,,
70%-30% with Counter Offer,,
70%-30% without Counter Offer,,
EARTH_Settlement_65+,,
EARTH_Settlement_Small Tickets,,
Had settlement,,
O_70%-30% with Counter Offer,,
O_70%-30% without Counter Offer,,
O_Out of Mandate,,
O_Preapproved,,
O_Settlement,,
O_Απαλλαγή ενεχόμενου,,
O_Διακανονισμός με Επαναδιαπραγμάτευση,,
O_Λογ εξόδων,,
O_N.3869_Προσωρινή Διαταγή,,
Ο_Ν.3869_Συζήτηση,,
Out of Mandate,,
Preapproved,,
Resch to Sett,,
Settlement,,
Διακανονισμός Αποπληρωμής Συνολικής Οφειλής,,
Διακανονισμός με Επαναδιαπραγμάτευση,,
Εφάπαξ Συμβιβαστικές Ρυθμίσεις,,
Λογαριασμός εξόδων,,
Ν.3869_Προστασία Α Κατοικίας,,
Ν.3869_Προσωρινή Διαταγή,,
Ν.3869_Συζήτηση,,
Χρονικές Συμβιβαστικές Ρυθμίσεις,,
*No value,,
DCA 3,,
70%-30% with Counter Offer,,
70%-30% without Counter Offer,,
EARTH_Settlement_65+,,
EARTH_Settlement_Small Tickets,,
Had settlement,,
O_70%-30% with Counter Offer,,
O_70%-30% without Counter Offer,,
O_Out of Mandate,,
O_Preapproved,,
O_Settlement,,
O_Απαλλαγή ενεχόμενου,,
O_Διακανονισμός με Επαναδιαπραγμάτευση,,
O_Λογ εξόδων,,
O_N.3869_Προσωρινή Διαταγή,,
Ο_Ν.3869_Συζήτηση,,
Out of Mandate,,
Preapproved,,
Resch to Sett,,
Settlement,,
Διακανονισμός Αποπληρωμής Συνολικής Οφειλής,,
Διακανονισμός με Επαναδιαπραγμάτευση,,
Εφάπαξ Συμβιβαστικές Ρυθμίσεις,,
Λογαριασμός εξόδων,,
Ν.3869_Προστασία Α Κατοικίας,,
Ν.3869_Προσωρινή Διαταγή,,
Ν.3869_Συζήτηση,,
Χρονικές Συμβιβαστικές Ρυθμίσεις,,
*No value,,
*No value,,
70%-30% with Counter Offer,,
70%-30% without Counter Offer,,
EARTH_Settlement_65+,,
EARTH_Settlement_Small Tickets,,
Had settlement,,
O_70%-30% with Counter Offer,,
O_70%-30% without Counter Offer,,
O_Out of Mandate,,
O_Preapproved,,
O_Settlement,,
O_Απαλλαγή ενεχόμενου,,
O_Διακανονισμός με Επαναδιαπραγμάτευση,,
O_Λογ εξόδων,,
O_N.3869_Προσωρινή Διαταγή,,
Ο_Ν.3869_Συζήτηση,,
Out of Mandate,,
Preapproved,,
Resch to Sett,,
Settlement,,
Διακανονισμός Αποπληρωμής Συνολικής Οφειλής,,
Διακανονισμός με Επαναδιαπραγμάτευση,,
Εφάπαξ Συμβιβαστικές Ρυθμίσεις,,
Λογαριασμός εξόδων,,
Ν.3869_Προστασία Α Κατοικίας,,
Ν.3869_Προσωρινή Διαταγή,,
Ν.3869_Συζήτηση,,
Χρονικές Συμβιβαστικές Ρυθμίσεις,,
*No value,,
